titulo,ubicacion,distrito,zona,precio,precio_m2,precio_categoria,tipo_inmueble,tipo_operacion,dormitorios,banos,area,tamano_categoria,antiguedad,anio_construccion,mantenimiento,publicador,fecha_publicacion,url
Casa en alquiler en Ur. Javier Prado (Cahuache),"Ur. Javier Prado (Cahuache), San Borja, Lima, Lima ",San Borja,Otro,1900.0,9.178743961352657,Alto,Casa,Alquiler,7,4,207.0,Muy Grande,34.0,1992,,RE/MAX Gestión Inmobiliaria,4 feb. 2023 - Publicado por RE/MAX Gestión Inmobiliaria,https://www.properati.com.pe/detalle/14032-32-a911-bc122769111c-fae4a93-b6c7-435b
Casa en alquiler en Ur. Javier Prado (Cahuache),"Ur. Javier Prado (Cahuache), San Borja, Lima, Lima ",San Borja,Otro,1900.0,1900.0,Alto,Casa,Alquiler,7,4,1.0,Pequeño,,207 m²,, Ivan  Santa Cruz Maza ,17 feb. 2023 - Publicado por  Ivan  Santa Cruz Maza ,https://www.properati.com.pe/detalle/14032-32-5c07-963c6975f150-39fd5f0e-be16-3b77
Apartamento en alquiler en Santiago de Surco,"Santiago de Surco, Lima, Lima ",Lima,Otro,1550.0,7.142857142857143,Alto,Apartamento,Alquiler,3,3,217.0,Muy Grande,,,,GARRIDO SECLEN RICARDY BUENAVENTURA,"Hace 2 semanas, 1 día - Publicado por GARRIDO SECLEN RICARDY BUENAVENTURA",https://www.properati.com.pe/detalle/14032-32-d310-5da6e15e3d6a-2c461db0-be98-120d
Apartamento en alquiler en Ur. Balta,"Ur. Balta, Miraflores, Lima, Lima ",Miraflores,Centro,850.0,7.87037037037037,Moderado,Apartamento,Alquiler,3,2,108.0,Grande,,,,REMAX CENTENARIO,22 mar. 2023 - Publicado por REMAX CENTENARIO,https://www.properati.com.pe/detalle/14032-32-9ddc-ac7b1f7a91ca-5d83b5ad-a980-4047
Casa en alquiler en San Isidro,"San Isidro, Lima, Lima ",Lima,Otro,1350.0,6.308411214953271,Alto,Casa,Alquiler,3,3,214.0,Muy Grande,24.0,2002,S/.450,Roalse Inmobiliaria ,27 nov. 2022 - Publicado por Roalse Inmobiliaria ,https://www.properati.com.pe/detalle/14032-32-cbc1-f4b284b35cce-3d76b6a5-b6a5-4ddb
Apartamento en alquiler en Hu. Cercado De Miraflores,"Hu. Cercado De Miraflores, Miraflores, Lima, Lima ",Miraflores,Centro,850.0,10.119047619047619,Moderado,Apartamento,Alquiler,2,3,84.0,Mediano,11.0,2015,S/.317,SOCIOS INMOBILIARIOS,"Hace 2 días, 13 horas - Publicado por SOCIOS INMOBILIARIOS",https://www.properati.com.pe/detalle/14032-32-e369-1bd90cad45c2-dca51e45-b277-48fc
Apartamento en alquiler en Ur. Confraternidad,"Ur. Confraternidad, Barranco, Lima, Lima ",Barranco,Sur,980.0,10.208333333333334,Moderado,Apartamento,Alquiler,3,2,96.0,Mediano,6.0,2020,S/.360,Remax Concept,"Hace 4 días, 17 horas - Publicado por Remax Concept",https://www.properati.com.pe/detalle/14032-32-6cf9-310b98421e59-547f52f5-8e38-44aa
Apartamento en alquiler en Ur. Chacarilla Santa Cruz,"Ur. Chacarilla Santa Cruz, San Isidro, Lima, Lima ",San Isidro,Centro,900.0,20.0,Moderado,Apartamento,Alquiler,1,1,45.0,Pequeño,3.0,2023,S/.250,Midori Kishimoto,24 ene. 2023 - Publicado por Midori Kishimoto,https://www.properati.com.pe/detalle/14032-32-461b-194a62f80c76-6da9ac19-aeed-4db0
Apartamento en alquiler en Ur. San Antonio,"Ur. San Antonio, Miraflores, Lima, Lima ",Miraflores,Centro,990.0,7.857142857142857,Moderado,Apartamento,Alquiler,2,4,126.0,Grande,5.0,2021,S/.450,GNS Inmobiliaria,"Hace 1 semana, 3 días - Publicado por GNS Inmobiliaria",https://www.properati.com.pe/detalle/14032-32-70b5-7a05466b7a0d-6cf6709-8f1b-3aac
Apartamento en alquiler en Ur. Orrantia,"Ur. Orrantia, San Isidro, Lima, Lima ",San Isidro,Centro,1380.0,10.534351145038167,Alto,Apartamento,Alquiler,3,2,131.0,Grande,6.0,2020,S/.700,Midori Kishimoto,"Hace 1 semana, 2 días - Publicado por Midori Kishimoto",https://www.properati.com.pe/detalle/14032-32-69dd-e410df5be883-3612c089-8bfd-4130
Apartamento en alquiler en Ur. Jardin,"Ur. Jardin, San Isidro, Lima, Lima ",San Isidro,Centro,900.0,20.0,Moderado,Apartamento,Alquiler,1,1,45.0,Pequeño,3.0,2023,,Midori Kishimoto,Hace 3 semanas - Publicado por Midori Kishimoto,https://www.properati.com.pe/detalle/14032-32-37d7-8d3662c87b8-418dc763-abf3-4a60
Casa en alquiler en Ur. La Planicie,"Ur. La Planicie, Punta Hermosa, Lima, Lima ",Punta Hermosa,Sur,2000.0,6.666666666666667,Lujo,Casa,Alquiler,4,4,300.0,Muy Grande,26.0,2000,,LIMA CORRETAJE S.A.C,27 feb. 2023 - Publicado por LIMA CORRETAJE S.A.C,https://www.properati.com.pe/detalle/14032-32-9ac3-986b39f1fb07-d95948a7-8e02-49f7
Apartamento en alquiler en Ur. Colmenares,"Ur. Colmenares, Pueblo Libre, Lima, Lima ",Pueblo Libre,Centro,760.0,7.3076923076923075,Moderado,Apartamento,Alquiler,3,2,104.0,Grande,9.0,2017,S/.270,LIMA CORRETAJE S.A.C,"Hace 4 días, 22 horas - Publicado por LIMA CORRETAJE S.A.C",https://www.properati.com.pe/detalle/14032-32-baee-68901d85bce1-4ad731e0-ab48-45de
Casa en alquiler en Ur. Huertos De San Antonio,"Ur. Huertos De San Antonio, Santiago de Surco, Lima, Lima ",Santiago de Surco,Este,1550.0,7.045454545454546,Alto,Casa,Alquiler,4,4,220.0,Muy Grande,35.0,1991,S/.200,IRIS JOYA - PROPIEDADES,13 mar. 2023 - Publicado por IRIS JOYA - PROPIEDADES,https://www.properati.com.pe/detalle/14032-32-47ee-63a19ce7ac76-a03d9e14-ad8c-4bde
Apartamento en alquiler en Ur. America,"Ur. America, Miraflores, Lima, Lima ",Miraflores,Centro,1000.0,6.666666666666667,Alto,Apartamento,Alquiler,2,4,150.0,Grande,6.0,2020,S/.650,TU HOGAR Y BIENESTAR,"Hace 1 semana, 4 días - Publicado por TU HOGAR Y BIENESTAR",https://www.properati.com.pe/detalle/14032-32-1a25-4f6cbbb4f88-713b911c-880d-4e3a
Apartamento en alquiler en Punta Hermosa,"Punta Hermosa, Lima, Lima ",Lima,Otro,1000.0,7.751937984496124,Alto,Apartamento,Alquiler,3,3,129.0,Grande,12.0,2014,S/.300,LIMA CORRETAJE S.A.C,23 feb. 2023 - Publicado por LIMA CORRETAJE S.A.C,https://www.properati.com.pe/detalle/14032-32-42ea-a0ee8cec8c54-f430dab7-8a5b-4918
Apartamento en alquiler en Ur. America,"Ur. America, Miraflores, Lima, Lima ",Miraflores,Centro,1500.0,14.423076923076923,Alto,Apartamento,Alquiler,2,2,104.0,Grande,21.0,2005,S/.631,Büro Propiedades,"Hace 1 semana, 6 días - Publicado por Büro Propiedades",https://www.properati.com.pe/detalle/14032-32-a720-97f4e354d103-12e891a9-a560-4a09
Apartamento en alquiler en Hu. Cercado De Miraflores,"Hu. Cercado De Miraflores, Miraflores, Lima, Lima ",Miraflores,Centro,1400.0,13.08411214953271,Alto,Apartamento,Alquiler,2,3,107.0,Grande,16.0,2010,S/.350,SERVICIOS INMOBILIARIOS,"Hace 1 semana, 6 días - Publicado por SERVICIOS INMOBILIARIOS",https://www.properati.com.pe/detalle/14032-32-8bb6-57c5c47b3bf7-ed96281f-9688-4e4b
Apartamento en alquiler en Ur. Alicia,"Ur. Alicia, Santiago de Surco, Lima, Lima ",Santiago de Surco,Este,980.0,7.777777777777778,Moderado,Apartamento,Alquiler,3,3,126.0,Grande,7.0,2019,S/.500,Faure Cruz,"Hace 1 semana, 10 horas - Publicado por Faure Cruz",https://www.properati.com.pe/detalle/14032-32-d90a-afbdc1f2fb6f-ea9ae520-b078-120d
Apartamento en alquiler en Ur. Balta,"Ur. Balta, Miraflores, Lima, Lima ",Miraflores,Centro,1200.0,12.0,Alto,Apartamento,Alquiler,2,2,100.0,Grande,,,S/.400,RE/MAX Expo,6 ene. 2023 - Publicado por RE/MAX Expo,https://www.properati.com.pe/detalle/14032-32-2d83-3ddfaaa89dff-88275968-839b-4238
Apartamento en alquiler en Ur. Santa Cruz,"Ur. Santa Cruz, Miraflores, Lima, Lima ",Miraflores,Centro,900.0,8.181818181818182,Moderado,Apartamento,Alquiler,2,3,110.0,Grande,14.0,2012,S/.330,CARLA EMPERATRIZ NEIRA SILVA,14 nov. 2022 - Publicado por CARLA EMPERATRIZ NEIRA SILVA,https://www.properati.com.pe/detalle/14032-32-61c7-42ce6cc85d92-b9b63c3e-af7c-4ecb
Apartamento en alquiler en Ur. Confraternidad,"Ur. Confraternidad, Barranco, Lima, Lima ",Barranco,Sur,800.0,11.11111111111111,Moderado,Apartamento,Alquiler,2,2,72.0,Mediano,3.0,2023,,RE/MAX PRO,28 feb. 2023 - Publicado por RE/MAX PRO,https://www.properati.com.pe/detalle/14032-32-8206-b65be670c0a6-a13a71bb-a6e4-4cca
